4.54	2.09	1.95	3.47e+04	123	90	.CATH40
4.05	1.65	1.64	1.12e+04	44.7	43.3	.SCOP40
3.75	1.37	1.44	5.61e+03	23.3	27.4	./2
3.45	1.05	1.24	2.8e+03	11.1	17.5	./4
4.65	2.25	2.02	4.48e+04	179	106	.X4
4.95	2.55	2.2	8.97e+04	358	159	.X8
7.73	3.03	3.04	5.37e+07	1.08e+03	1.1e+03	.AFDB50
5.54	1.91	2.5	3.48e+05	81.5	315	.BFVD
5.95	2.66	2.66	8.84e+05	454	458	.PDB
# rmse_initial=1.6 rmse_final=0.76 offset=3.98 scale=0.834 thenorm=3.18
