TS	scop40/F	scop40/v2.5	scop40/F=	scop40/S	scop40/v2.5	scop40/S=	scop40c/F	scop40c/F=	scop40c/S	scop40c/S=	bfvd/F	bfvd/S	bfvdc/F	bfvdc/S	pdb/F	pdb/S	pdbc/F	pdbc/S	afdb50/F	afdb50/S	afdb50c/F	afdb50c/S
0.05	5.25e+00	>10	>10	>10	>10	>10	>10	>10	>10	>10	1.93e+00	>10	7.52e+00	>10	>10	>10	>10	>10	1.43e+00	>10	3.83e+00	>10
0.55	1.26e-06	4.14e-08	0	4.98e-07	4.14e-08	0	1.00e-09	0	1.50e-09	0	1.13e-06	8.69e-06	5.89e-10	2.61e-08	1.50e-05	3.44e-05	1.49e-08	1.03e-07	5.92e-05	8.79e-04	4.88e-08	2.64e-06
0.60	2.74e-07	5.60e-09	0	9.19e-08	5.60e-09	0	9.42e-11	0	1.46e-10	0	2.68e-07	1.60e-06	5.69e-11	2.55e-09	3.70e-06	6.34e-06	1.65e-09	1.01e-08	2.16e-05	1.62e-04	7.92e-09	2.58e-07
0.65	5.98e-08	7.58e-10	0	1.70e-08	7.58e-10	0	8.85e-12	0	1.43e-11	0	6.37e-08	2.96e-07	5.50e-12	2.50e-10	9.16e-07	1.17e-06	1.83e-10	9.88e-10	7.86e-06	2.99e-05	1.29e-09	2.53e-08
0.70	1.30e-08	1.03e-10	0	3.13e-09	1.03e-10	0	8.32e-13	0	1.40e-12	0	1.52e-08	5.45e-08	5.31e-13	2.44e-11	2.27e-07	2.16e-07	2.03e-11	9.67e-11	2.86e-06	5.52e-06	2.09e-10	2.47e-09
0.75	2.83e-09	1.39e-11	0	5.77e-10	1.39e-11	0	7.82e-14	0	1.37e-13	0	3.61e-09	1.01e-08	5.13e-14	2.39e-12	5.61e-08	3.98e-08	2.25e-12	9.46e-12	1.04e-06	1.02e-06	3.39e-11	2.42e-10
0.80	6.17e-10	1.88e-12	0	1.07e-10	1.88e-12	0	7.35e-15	0	1.34e-14	0	8.59e-10	1.86e-09	4.96e-15	2.34e-13	1.39e-08	7.35e-09	2.50e-13	9.26e-13	3.80e-07	1.88e-07	5.50e-12	2.37e-11
0.85	1.34e-10	2.54e-13	0	1.97e-11	2.54e-13	0	6.90e-16	0	1.31e-15	0	2.04e-10	3.43e-10	4.79e-16	2.29e-14	3.44e-09	1.36e-09	2.77e-14	9.06e-14	1.39e-07	3.47e-08	8.94e-13	2.32e-12
0.90	2.93e-11	3.44e-14	0	3.63e-12	3.44e-14	0	6.49e-17	0	1.28e-16	0	4.86e-11	6.32e-11	4.63e-17	2.24e-15	8.50e-10	2.50e-10	3.07e-15	8.86e-15	5.05e-08	6.40e-09	1.45e-13	2.27e-13
0.95	6.38e-12	4.66e-15	0	6.69e-13	4.66e-15	0	6.10e-18	0	1.26e-17	0	1.16e-11	1.17e-11	4.47e-18	2.19e-16	2.10e-10	4.62e-11	3.41e-16	8.67e-16	1.84e-08	1.18e-09	2.36e-14	2.22e-14
1.00	1.39e-12	6.31e-16	0	1.23e-13	6.31e-16	0	5.73e-19	0	1.23e-18	0	2.75e-12	2.15e-12	4.32e-19	2.14e-17	5.21e-11	8.52e-12	3.78e-17	8.48e-17	6.71e-09	2.18e-10	3.83e-15	2.17e-15
1.05	3.02e-13	8.53e-17	0	2.28e-14	8.53e-17	0	5.38e-20	0	1.20e-19	0	6.55e-13	3.97e-13	4.17e-20	2.10e-18	1.29e-11	1.57e-12	4.19e-18	8.30e-18	2.45e-09	4.02e-11	6.21e-16	2.12e-16
