score	E-value	scop40/scop40	scop40/scop40c	scop40_afdb50/scop40	scop40_afdb50/scop40c
-1	10	2.05	8.26	>10	>10
0	1	0.424	0.582	>10	>10
1	0.1	0.0873	0.041	3.31	1.55
2	0.01	0.018	0.00289	0.683	0.11
3	0.001	0.00371	0.000204	0.141	0.00772
4	0.0001	0.000766	1.44e-05	0.029	0.000544
5	1e-05	0.000158	1.01e-06	0.00599	3.83e-05
6	1e-06	3.26e-05	7.13e-08	0.00123	2.7e-06
